mmsi,dt,status,vesseltype,sog_mean,sog_min,sog_max,sog_std,count,length,width,draft,vessel,autoencode_loss
368339000,2017-01-29 11:00:00,undefined,1001,0.002325581395348837,0.0,0.1,0.015249857033260468,43,17.649999999999988,6.709999999999999,0.0,fishing,0.17659471929073334
368371000,2017-01-24 23:00:00,undefined,1001,0.0,0.0,0.0,0.0,51,22.710000000000015,7.920000000000003,0.0,fishing,0.19108526408672333
368371000,2017-01-25 00:00:00,undefined,1001,0.0,0.0,0.0,0.0,52,22.710000000000015,7.920000000000003,0.0,fishing,0.24472559988498688
368371000,2017-01-25 01:00:00,undefined,1001,0.0,0.0,0.0,0.0,51,22.710000000000015,7.920000000000003,0.0,fishing,0.27686044573783875
368371000,2017-01-25 02:00:00,undefined,1001,0.0,0.0,0.0,0.0,52,22.710000000000015,7.920000000000003,0.0,fishing,0.25836604833602905
368371000,2017-01-25 03:00:00,undefined,1001,0.0,0.0,0.0,0.0,51,22.710000000000015,7.920000000000003,0.0,fishing,0.1944628804922104
368380000,2015-01-18 23:00:00,engaged in fishing,1001,0.0,0.0,0.0,0.0,54,37.03999999999998,9.759999999999994,0.0,fishing,0.16039954125881195
368380000,2015-01-19 00:00:00,engaged in fishing,1001,0.0018181818181818182,0.0,0.1,0.01348399724926484,55,37.03999999999998,9.759999999999994,0.0,fishing,0.15759582817554474
368380000,2015-01-29 20:00:00,engaged in fishing,1001,4.153333333333333,3.6,5.6,0.4867775477077603,15,37.04,9.76,0.0,fishing,0.16156165301799774
368382000,2015-01-01 00:00:00,under way using engine,1001,0.64,0.0,5.1,0.8778340347654517,55,68.13000000000008,12.799999999999992,0.0,fishing,0.1974344551563263
368382000,2015-01-01 01:00:00,under way using engine,1001,0.8945454545454544,0.0,4.4,0.8394041497391628,55,68.13000000000008,12.799999999999992,0.0,fishing,0.22094224393367767
368382000,2015-01-01 02:00:00,under way using engine,1001,0.3436363636363636,0.0,1.2,0.3270313363417868,55,68.13000000000008,12.799999999999992,0.0,fishing,0.21369241178035736
368382000,2015-01-01 03:00:00,under way using engine,1001,0.5240740740740739,0.0,2.5,0.48600612822643996,54,68.13000000000008,12.799999999999992,0.0,fishing,0.17280596494674683
368382000,2016-01-25 07:00:00,engaged in fishing,1001,0.017307692307692305,0.0,0.1,0.038200471438184475,52,68.13000000000008,12.799999999999994,0.0,fishing,0.1630316525697708
368382000,2016-01-25 08:00:00,engaged in fishing,1001,0.04615384615384617,0.0,0.1,0.05033822257076336,52,68.13000000000008,12.799999999999994,0.0,fishing,0.16705143451690674
368409000,2015-01-19 00:00:00,engaged in fishing,1001,0.0,0.0,0.0,0.0,57,26.22000000000002,8.740000000000006,2.74,fishing,0.15336717665195465
368409000,2015-01-19 01:00:00,engaged in fishing,1001,0.0,0.0,0.0,0.0,56,26.22000000000002,8.740000000000006,2.7399999999999998,fishing,0.17452776432037354
368409000,2015-01-19 02:00:00,engaged in fishing,1001,0.0,0.0,0.0,0.0,57,26.22000000000002,8.740000000000006,2.74,fishing,0.17828205227851868
368409000,2015-01-19 03:00:00,engaged in fishing,1001,0.0,0.0,0.0,0.0,56,26.22000000000002,8.740000000000006,2.7399999999999998,fishing,0.15370047092437744
368412000,2015-01-29 03:00:00,undefined,1001,0.4296296296296297,0.0,4.3,0.9131388184427546,54,31.599999999999973,10.050000000000004,0.0,fishing,0.16216836869716644
368412000,2015-01-29 04:00:00,undefined,1001,0.014545454545454544,0.0,0.1,0.035580799119655344,55,31.59999999999997,10.050000000000004,0.0,fishing,0.17803534865379333
